https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT,tradecount
1667779200000,2022-11-07 00:00:00,TRX/USDT,0.06263,0.06279,0.06251,0.06278,20232719,1266976.47988,4717
1667692800000,2022-11-06 00:00:00,TRX/USDT,0.06358,0.06536,0.06247,0.06263,1201346423,77172386.29959,221115
1667606400000,2022-11-05 00:00:00,TRX/USDT,0.06380,0.06477,0.06307,0.06358,858138553,54947463.69097,156789
1667520000000,2022-11-04 00:00:00,TRX/USDT,0.06166,0.06380,0.06146,0.06380,932710567,58439634.66076,146647
1667433600000,2022-11-03 00:00:00,TRX/USDT,0.06150,0.06245,0.06136,0.06165,766075903,47408611.73793,140011
1667347200000,2022-11-02 00:00:00,TRX/USDT,0.06272,0.06325,0.06133,0.06151,1049080225,65382550.59834,177603
1667260800000,2022-11-01 00:00:00,TRX/USDT,0.06322,0.06339,0.06246,0.06272,539887109,33997767.63937,108347
1667174400000,2022-10-31 00:00:00,TRX/USDT,0.06306,0.06338,0.06223,0.06321,843255467,53005046.97679,154296
1667088000000,2022-10-30 00:00:00,TRX/USDT,0.06423,0.06480,0.06285,0.06307,661802764,42240610.19800,149419
1667001600000,2022-10-29 00:00:00,TRX/USDT,0.06350,0.06451,0.06341,0.06423,876431732,56044165.54999,177901
1666915200000,2022-10-28 00:00:00,TRX/USDT,0.06291,0.06375,0.06253,0.06351,676841753,42712760.58721,137881
1666828800000,2022-10-27 00:00:00,TRX/USDT,0.06338,0.06414,0.06259,0.06292,923344627,58595314.21568,166823
1666742400000,2022-10-26 00:00:00,TRX/USDT,0.06230,0.06376,0.06220,0.06338,1021979544,64332954.81356,164314
1666656000000,2022-10-25 00:00:00,TRX/USDT,0.06127,0.06286,0.06109,0.06229,957469950,59276794.44367,158092
1666569600000,2022-10-24 00:00:00,TRX/USDT,0.06182,0.06200,0.06116,0.06127,664060105,40846037.88785,135923
1666483200000,2022-10-23 00:00:00,TRX/USDT,0.06155,0.06199,0.06100,0.06182,603864646,37170585.35388,127377
1666396800000,2022-10-22 00:00:00,TRX/USDT,0.06162,0.06196,0.06109,0.06155,525444567,32303188.42481,116382
1666310400000,2022-10-21 00:00:00,TRX/USDT,0.06210,0.06293,0.06060,0.06162,1109590888,68432699.60147,194747
1666224000000,2022-10-20 00:00:00,TRX/USDT,0.06168,0.06265,0.06138,0.06210,752421305,46774338.48841,154985
1666137600000,2022-10-19 00:00:00,TRX/USDT,0.06214,0.06318,0.06161,0.06168,1158174305,72433647.96481,209420
1666051200000,2022-10-18 00:00:00,TRX/USDT,0.06262,0.06297,0.06162,0.06215,879298339,54808206.51067,153460
1665964800000,2022-10-17 00:00:00,TRX/USDT,0.06181,0.06304,0.06158,0.06262,1019226974,63590111.33669,178574
1665878400000,2022-10-16 00:00:00,TRX/USDT,0.06171,0.06202,0.06112,0.06181,939364667,57850557.94566,165241
1665792000000,2022-10-15 00:00:00,TRX/USDT,0.06390,0.06511,0.06164,0.06172,2214889271,140382398.62275,317757
1665705600000,2022-10-14 00:00:00,TRX/USDT,0.06095,0.06601,0.06065,0.06389,3098704324,196670692.04730,400671
1665619200000,2022-10-13 00:00:00,TRX/USDT,0.06167,0.06224,0.05880,0.06096,1579921329,95752724.42653,267844
1665532800000,2022-10-12 00:00:00,TRX/USDT,0.06163,0.06448,0.06109,0.06167,2330481513,146430557.62386,310303
1665446400000,2022-10-11 00:00:00,TRX/USDT,0.06268,0.06269,0.06113,0.06163,1050372878,64800965.97925,186130
1665360000000,2022-10-10 00:00:00,TRX/USDT,0.06233,0.06527,0.06223,0.06269,3173421407,202787783.17407,394313
1665273600000,2022-10-09 00:00:00,TRX/USDT,0.06201,0.06277,0.06188,0.06233,342888163,21380041.27217,95118
1665187200000,2022-10-08 00:00:00,TRX/USDT,0.06247,0.06272,0.06161,0.06202,443175966,27563998.43762,105113
1665100800000,2022-10-07 00:00:00,TRX/USDT,0.06275,0.06329,0.06189,0.06248,781994441,48986430.18859,138401
1665014400000,2022-10-06 00:00:00,TRX/USDT,0.06240,0.06319,0.06186,0.06275,858830431,53776826.65906,145201
1664928000000,2022-10-05 00:00:00,TRX/USDT,0.06232,0.06273,0.06185,0.06240,684851125,42653958.55569,133421
1664841600000,2022-10-04 00:00:00,TRX/USDT,0.06132,0.06246,0.06100,0.06231,767726338,47307652.13574,135069
1664755200000,2022-10-03 00:00:00,TRX/USDT,0.06086,0.06147,0.06062,0.06131,717692836,43890290.68592,136576
1664668800000,2022-10-02 00:00:00,TRX/USDT,0.06046,0.06196,0.06032,0.06086,1295801903,79434212.62462,209394
1664582400000,2022-10-01 00:00:00,TRX/USDT,0.06096,0.06146,0.05997,0.06045,552772800,33578028.71933,117393
1664496000000,2022-09-30 00:00:00,TRX/USDT,0.06097,0.06230,0.06018,0.06097,1240278242,75925141.18484,206486
1664409600000,2022-09-29 00:00:00,TRX/USDT,0.05949,0.06200,0.05927,0.06097,1142103920,69096095.25603,192797
1664323200000,2022-09-28 00:00:00,TRX/USDT,0.05932,0.05988,0.05829,0.05949,702405816,41453632.97895,146323
1664236800000,2022-09-27 00:00:00,TRX/USDT,0.05956,0.06086,0.05891,0.05933,733869136,44036645.45987,149792
