https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1667779200000,2022-11-07 00:00:00,LTC/USDT,68.19,70.81,68.08,70.71,299684.225,20770760.30562,29385
1667692800000,2022-11-06 00:00:00,LTC/USDT,69.21,70.84,67.44,68.19,4872792.257,337387378.18685,518353
1667606400000,2022-11-05 00:00:00,LTC/USDT,67.56,71.98,67.03,69.21,6542133.254,453883185.58045,708391
1667520000000,2022-11-04 00:00:00,LTC/USDT,61.80,70.48,61.62,67.55,7819520.529,517317884.06512,843174
1667433600000,2022-11-03 00:00:00,LTC/USDT,60.90,64.74,60.03,61.80,8538549.978,532703420.50720,808508
1667347200000,2022-11-02 00:00:00,LTC/USDT,55.06,62.96,54.57,60.91,14408858.805,864622687.81193,1251311
1667260800000,2022-11-01 00:00:00,LTC/USDT,54.98,55.89,54.44,55.06,1772342.492,97712382.27551,229681
1667174400000,2022-10-31 00:00:00,LTC/USDT,55.34,56.37,53.94,54.99,2480380.415,136448359.31496,307777
1667088000000,2022-10-30 00:00:00,LTC/USDT,56.55,57.48,54.67,55.33,2090385.672,117140577.10928,289446
1667001600000,2022-10-29 00:00:00,LTC/USDT,54.88,57.59,54.58,56.55,2808054.533,157204581.20478,335873
1666915200000,2022-10-28 00:00:00,LTC/USDT,54.73,55.57,53.44,54.89,2462220.477,134290873.85322,304552
1666828800000,2022-10-27 00:00:00,LTC/USDT,56.34,56.66,54.43,54.73,3212041.898,178821898.96987,381469
1666742400000,2022-10-26 00:00:00,LTC/USDT,55.91,57.62,55.64,56.34,3091377.080,174884829.21767,367416
1666656000000,2022-10-25 00:00:00,LTC/USDT,52.50,56.79,52.25,55.91,3478634.144,188987360.66047,387069
1666569600000,2022-10-24 00:00:00,LTC/USDT,54.00,54.18,52.07,52.49,2258187.393,119580221.76411,263275
1666483200000,2022-10-23 00:00:00,LTC/USDT,52.14,54.00,51.80,53.99,1868176.076,98398522.05052,224262
1666396800000,2022-10-22 00:00:00,LTC/USDT,51.61,52.47,51.32,52.14,1261370.155,65574245.99352,182807
1666310400000,2022-10-21 00:00:00,LTC/USDT,51.19,51.78,49.50,51.60,2447579.295,124497955.74539,289887
1666224000000,2022-10-20 00:00:00,LTC/USDT,50.89,52.08,50.54,51.19,2255669.498,115759513.36241,268078
1666137600000,2022-10-19 00:00:00,LTC/USDT,51.83,51.99,50.69,50.89,1737136.349,89228588.55313,223342
1666051200000,2022-10-18 00:00:00,LTC/USDT,51.80,52.18,50.70,51.84,2155017.013,111161989.90009,240581
1665964800000,2022-10-17 00:00:00,LTC/USDT,51.38,52.14,51.01,51.80,1644214.168,84772513.59073,212121
1665878400000,2022-10-16 00:00:00,LTC/USDT,50.36,51.79,50.25,51.39,1497853.486,76366612.03561,197618
1665792000000,2022-10-15 00:00:00,LTC/USDT,51.26,51.64,50.23,50.36,1317244.958,67349464.47059,171852
1665705600000,2022-10-14 00:00:00,LTC/USDT,51.05,52.55,50.87,51.26,2355519.420,121792559.64256,267996
1665619200000,2022-10-13 00:00:00,LTC/USDT,52.18,52.47,48.26,51.06,4451857.931,224404245.13127,458589
1665532800000,2022-10-12 00:00:00,LTC/USDT,51.99,52.96,51.56,52.18,2113555.066,110406697.44595,251355
1665446400000,2022-10-11 00:00:00,LTC/USDT,52.61,52.67,51.18,51.99,2468520.891,128077105.58319,298486
1665360000000,2022-10-10 00:00:00,LTC/USDT,53.87,54.45,52.40,52.60,3061143.794,163465689.24428,324066
1665273600000,2022-10-09 00:00:00,LTC/USDT,52.75,53.98,52.66,53.88,1492056.580,79695385.50442,188346
1665187200000,2022-10-08 00:00:00,LTC/USDT,52.82,53.53,52.37,52.76,1435090.376,76197867.81523,195796
1665100800000,2022-10-07 00:00:00,LTC/USDT,53.51,53.81,52.25,52.82,2362990.425,125286098.32614,276621
1665014400000,2022-10-06 00:00:00,LTC/USDT,54.59,55.03,53.30,53.52,2448851.631,133013179.68443,276898
1664928000000,2022-10-05 00:00:00,LTC/USDT,55.24,55.27,53.25,54.59,2684738.403,145811376.04942,298011
1664841600000,2022-10-04 00:00:00,LTC/USDT,54.13,55.72,53.84,55.24,2510738.190,137280923.49530,276673
1664755200000,2022-10-03 00:00:00,LTC/USDT,51.77,54.32,51.42,54.13,2541281.720,134787051.82204,279666
1664668800000,2022-10-02 00:00:00,LTC/USDT,52.87,53.41,51.63,51.77,1799231.377,94660439.00131,217321
1664582400000,2022-10-01 00:00:00,LTC/USDT,53.45,53.81,52.42,52.87,1474595.973,78455288.87057,178385
1664496000000,2022-09-30 00:00:00,LTC/USDT,53.93,55.08,52.82,53.46,2785032.160,149994034.65626,321698
1664409600000,2022-09-29 00:00:00,LTC/USDT,53.25,54.15,52.20,53.92,3007717.312,160360836.88493,319368
1664323200000,2022-09-28 00:00:00,LTC/USDT,52.61,53.81,50.89,53.25,3353687.544,176203791.29041,349190
1664236800000,2022-09-27 00:00:00,LTC/USDT,53.40,55.61,51.76,52.60,3924412.288,211328860.54829,389789
1664150400000,2022-09-26 00:00:00,LTC/USDT,52.48,53.70,51.83,53.40,3014250.521,159368086.44848,322216
1664064000000,2022-09-25 00:00:00,LTC/USDT,53.37,54.39,52.19,52.49,2202098.100,118032161.18705,247857
1663977600000,2022-09-24 00:00:00,LTC/USDT,55.21,55.94,53.13,53.37,2848126.896,156145237.35981,313849
1663891200000,2022-09-23 00:00:00,LTC/USDT,53.52,55.31,51.31,55.20,4657983.307,248249255.84617,476194
1663804800000,2022-09-22 00:00:00,LTC/USDT,51.01,54.07,50.56,53.52,3042835.167,160411674.80258,326265
1663718400000,2022-09-21 00:00:00,LTC/USDT,52.29,55.50,50.20,51.02,5929951.368,314248465.51286,570340
1663632000000,2022-09-20 00:00:00,LTC/USDT,52.83,53.80,50.80,52.29,4119870.364,214848583.65988,387399
1663545600000,2022-09-19 00:00:00,LTC/USDT,52.61,53.70,49.96,52.84,4145509.493,213924451.12886,448873
1663459200000,2022-09-18 00:00:00,LTC/USDT,57.79,57.82,51.98,52.60,2996061.101,166290694.43322,351016
1663372800000,2022-09-17 00:00:00,LTC/USDT,55.91,58.39,55.77,57.79,2092183.639,119481068.16131,258155
1663286400000,2022-09-16 00:00:00,LTC/USDT,56.31,56.89,54.54,55.91,3529358.852,196388638.32027,339462
1663200000000,2022-09-15 00:00:00,LTC/USDT,60.14,60.79,55.78,56.31,4400822.412,257548819.79417,479503
1663113600000,2022-09-14 00:00:00,LTC/USDT,59.04,61.14,58.00,60.15,3936096.950,234573517.63457,437228
1663027200000,2022-09-13 00:00:00,LTC/USDT,61.36,67.48,58.28,59.04,8993566.576,564819754.73874,914993
1662940800000,2022-09-12 00:00:00,LTC/USDT,62.13,63.20,60.01,61.35,3217453.592,197927628.19198,387211
1662854400000,2022-09-11 00:00:00,LTC/USDT,63.26,64.44,61.26,62.12,2567889.544,161392859.85650,331659
1662768000000,2022-09-10 00:00:00,LTC/USDT,61.10,64.70,60.52,63.26,3975728.656,249945564.61612,459264
1662681600000,2022-09-09 00:00:00,LTC/USDT,57.93,61.95,57.66,61.09,3538263.805,213592774.23620,402915
1662595200000,2022-09-08 00:00:00,LTC/USDT,57.29,58.61,56.01,57.93,3720068.240,212518822.11935,375340
1662508800000,2022-09-07 00:00:00,LTC/USDT,54.07,58.25,52.88,57.29,4478421.937,245978369.43921,440061
1662422400000,2022-09-06 00:00:00,LTC/USDT,60.37,62.71,53.95,54.09,7211969.836,422702616.11286,654314
1662336000000,2022-09-05 00:00:00,LTC/USDT,60.86,61.59,59.22,60.36,4305270.457,259062917.55844,418043
1662249600000,2022-09-04 00:00:00,LTC/USDT,60.10,60.96,58.57,60.86,4066506.213,242569184.73461,428233
1662163200000,2022-09-03 00:00:00,LTC/USDT,60.96,62.21,59.46,60.11,6556436.041,398186289.94141,602535
1662076800000,2022-09-02 00:00:00,LTC/USDT,57.54,62.45,56.45,60.96,7741188.209,464328432.40930,738435
1661990400000,2022-09-01 00:00:00,LTC/USDT,53.81,57.77,53.15,57.55,5770271.695,321327723.77885,596883
1661904000000,2022-08-31 00:00:00,LTC/USDT,52.98,55.22,52.97,53.80,2975051.833,161338220.30590,363809
1661817600000,2022-08-30 00:00:00,LTC/USDT,55.74,56.22,51.76,52.97,3791530.567,205069809.78607,427781
1661731200000,2022-08-29 00:00:00,LTC/USDT,53.37,56.68,52.45,55.75,4915480.450,269691287.95365,507808
1661644800000,2022-08-28 00:00:00,LTC/USDT,52.96,55.99,52.44,53.38,4099695.283,222385123.40410,431187
1661558400000,2022-08-27 00:00:00,LTC/USDT,52.64,53.45,51.61,52.96,2217549.770,116579219.70625,288903
1661472000000,2022-08-26 00:00:00,LTC/USDT,56.59,58.30,52.00,52.64,4218914.910,233834147.41653,499973
1661385600000,2022-08-25 00:00:00,LTC/USDT,56.41,57.52,55.74,56.60,2235129.753,126644193.40533,286266
1661299200000,2022-08-24 00:00:00,LTC/USDT,57.05,57.66,55.50,56.41,2715583.744,153376625.99083,328755
1661212800000,2022-08-23 00:00:00,LTC/USDT,57.19,57.74,53.87,57.05,3506971.428,197414260.69723,403057
